Command,Example,Description
"engine","engine neo4j","Sets the default database for all subsequent queries in the session. Valid options are: postgres, redis, neo4j."
"ping","ping","Checks the connection status of all configured databases (PostgreSQL, Redis, Neo4j)."
"help","help","Displays a list of all available shell commands and their descriptions."
"exit","exit","Closes all database connections gracefully and exits the console application."
"SELECT",SELECT * FROM 'product' WHERE 'productID' = 1,"Executes a standard SELECT query against the currently set default engine."
"SELECT",SELECT * FROM 'product' WHERE 'productID' = 1,"Executes a standard SELECT query against the currently set default engine."
"INSERT","INSERT INTO user (id, city) VALUES ('some-uuid', 'Berlin')","Executes an INSERT query against the default engine."
"UPDATE","UPDATE user SET city = 'London' WHERE id = 'some-uuid'","Executes an UPDATE query. Requires 'use_catalogue=True' if not using the default engine."
"DELETE","DELETE FROM user WHERE id = 'some-uuid'","Executes a DELETE query. Requires 'use_catalogue=True' if not using the default engine."
"JOIN (PostgreSQL)","SELECT o.""orderID"", p.""productName"" FROM ""Order"" AS o JOIN ""OrderDetails"" AS od ON o.""orderID"" = od.""orderID"" JOIN ""Product"" AS p ON od.""productID"" = p.""productID"" WHERE o.""orderID"" = 10251","Performs a native JOIN within the PostgreSQL engine."
"JOIN (Neo4j)","SELECT o.orderID, c.companyName FROM Order o JOIN Customer c ON o.customerID = c.customerID WHERE o.orderID = 10248","Translates a SQL JOIN into a Cypher query and executes it on the Neo4j engine."
"JOIN (Redis)","SELECT user.name, profile.skill FROM user JOIN profile ON user.id = profile.user_id","Performs an application-side JOIN on two Redis namespaces."
"GROUP BY (PostgreSQL)","SELECT ""country"", COUNT(*) AS customer_count FROM ""Customer"" GROUP BY ""country""","Performs a native GROUP BY aggregation within PostgreSQL."
"GROUP BY (Neo4j)","SELECT country, COUNT(*) AS customer_count FROM Customer GROUP BY country","Translates and executes a SQL GROUP BY query as a Cypher aggregation."
"GROUP BY (Redis)","SELECT city, COUNT(*) as city_count FROM cities_test GROUP BY city","Performs an application-side GROUP BY on data within the Redis engine."
